=== DATABASE SCHEMA AUDIT ===
                                                 List of relations
 Schema |             Name             | Type  |  Owner   | Persistence | Access method |    Size    | Description 
--------+------------------------------+-------+----------+-------------+---------------+------------+-------------
 public | ActionCodes                  | table | postgres | permanent   | heap          | 16 kB      | 
 public | ApiKeys                      | table | postgres | permanent   | heap          | 8192 bytes | 
 public | ApprovalWorkflows            | table | postgres | permanent   | heap          | 32 kB      | 
 public | AssetBookSettings            | table | postgres | permanent   | heap          | 8192 bytes | 
 public | AssetCategories              | table | postgres | permanent   | heap          | 40 kB      | 
 public | AssetInventories             | table | postgres | permanent   | heap          | 8192 bytes | 
 public | AssetTaxSettings             | table | postgres | permanent   | heap          | 8192 bytes | 
 public | AssetTransfers               | table | postgres | permanent   | heap          | 8192 bytes | 
 public | Assets                       | table | postgres | permanent   | heap          | 232 kB     | 
 public | Attachments                  | table | postgres | permanent   | heap          | 8192 bytes | 
 public | AuditLogs                    | table | postgres | permanent   | heap          | 56 kB      | 
 public | BonusDepreciationRates       | table | postgres | permanent   | heap          | 40 kB      | 
 public | BookGlAccounts               | table | postgres | permanent   | heap          | 0 bytes    | 
 public | Books                        | table | postgres | permanent   | heap          | 16 kB      | 
 public | BulkOperations               | table | postgres | permanent   | heap          | 16 kB      | 
 public | CapitalImprovements          | table | postgres | permanent   | heap          | 8192 bytes | 
 public | CauseCodes                   | table | postgres | permanent   | heap          | 40 kB      | 
 public | CcaClassBalances             | table | postgres | permanent   | heap          | 0 bytes    | 
 public | CcaClasses                   | table | postgres | permanent   | heap          | 40 kB      | 
 public | CcaTransactions              | table | postgres | permanent   | heap          | 8192 bytes | 
 public | CipCosts                     | table | postgres | permanent   | heap          | 8192 bytes | 
 public | CipProjects                  | table | postgres | permanent   | heap          | 8192 bytes | 
 public | Companies                    | table | postgres | permanent   | heap          | 16 kB      | 
 public | CostCenters                  | table | postgres | permanent   | heap          | 48 kB      | 
 public | Crafts                       | table | postgres | permanent   | heap          | 48 kB      | 
 public | Currencies                   | table | postgres | permanent   | heap          | 40 kB      | 
 public | Departments                  | table | postgres | permanent   | heap          | 40 kB      | 
 public | DepreciationPolicies         | table | postgres | permanent   | heap          | 16 kB      | 
 public | DepreciationRunDetails       | table | postgres | permanent   | heap          | 0 bytes    | 
 public | DepreciationRuns             | table | postgres | permanent   | heap          | 8192 bytes | 
 public | ExchangeRates                | table | postgres | permanent   | heap          | 8192 bytes | 
 public | FailureCodes                 | table | postgres | permanent   | heap          | 40 kB      | 
