=== FOREIGN KEY RELATIONSHIPS ===
          table_name          |        column_name        |     foreign_table     | foreign_column 
------------------------------+---------------------------+-----------------------+----------------
 AssetBookSettings            | AssetId                   | Assets                | Id
 AssetBookSettings            | BookId                    | Books                 | Id
 AssetBookSettings            | BookId1                   | Books                 | Id
 AssetCategories              | AccumDepGlAccountId       | GlAccounts            | Id
 AssetCategories              | AssetGlAccountId          | GlAccounts            | Id
 AssetCategories              | CompanyId                 | Companies             | Id
 AssetCategories              | DepExpGlAccountId         | GlAccounts            | Id
 AssetCategories              | DepreciationPolicyId      | DepreciationPolicies  | Id
 AssetInventories             | AssetId                   | Assets                | Id
 AssetInventories             | LastInventoryListId       | InventoryLists        | Id
 AssetTaxSettings             | AssetId                   | Assets                | Id
 AssetTaxSettings             | CcaClassId                | CcaClasses            | Id
 AssetTransfers               | AssetId                   | Assets                | Id
 Assets                       | AssetCategoryId           | AssetCategories       | Id
 Assets                       | CompanyId                 | Companies             | Id
 Assets                       | CostCenterId              | CostCenters           | Id
 Assets                       | DepartmentId              | Departments           | Id
 Assets                       | LocationId                | Locations             | Id
 Assets                       | ManufacturerId            | Manufacturers         | Id
 Assets                       | ParentAssetId             | Assets                | Id
 Assets                       | SiteId                    | Sites                 | Id
 Assets                       | VendorId                  | Vendors               | Id
 Attachments                  | AssetId                   | Assets                | Id
 Attachments                  | AssetTransferId           | AssetTransfers        | Id
 Attachments                  | CapitalImprovementId      | CapitalImprovements   | Id
 Attachments                  | CipCostId                 | CipCosts              | Id
 Attachments                  | CipProjectId              | CipProjects           | Id
 Attachments                  | MaintenanceEventId        | MaintenanceEvents     | Id
 BookGlAccounts               | BookId                    | Books                 | Id
 Books                        | CompanyId                 | Companies             | Id
 Books                        | DefaultPolicyId           | DepreciationPolicies  | Id
 CapitalImprovements          | AssetId                   | Assets                | Id
 CauseCodes                   | ParentId                  | CauseCodes            | Id
 CcaClassBalances             | CcaClassId                | CcaClasses            | Id
 CcaTransactions              | AssetId                   | Assets                | Id
 CcaTransactions              | CcaClassId                | CcaClasses            | Id
 CipCosts                     | CipProjectId              | CipProjects           | Id
 CipProjects                  | ConvertedAssetId          | Assets                | Id
 CipProjects                  | CostCenterId              | CostCenters           | Id
 CipProjects                  | DepartmentId              | Departments           | Id
 CipProjects                  | GlAccountId               | GlAccounts            | Id
 CipProjects                  | ProjectManagerId          | ProjectManagers       | Id
 Companies                    | ParentCompanyId           | Companies             | Id
 Companies                    | TenantId                  | Tenants               | Id
 CostCenters                  | CompanyId                 | Companies             | Id
 CostCenters                  | ParentCostCenterId        | CostCenters           | Id
 Departments                  | CompanyId                 | Companies             | Id
 Departments                  | CostCenterId              | CostCenters           | Id
 DepreciationPolicies         | CcaClassId                | CcaClasses            | Id
 DepreciationPolicies         | CompanyId                 | Companies             | Id
 DepreciationRunDetails       | AssetId                   | Assets                | Id
 DepreciationRunDetails       | DepreciationRunId         | DepreciationRuns      | Id
 DepreciationRuns             | BookId                    | Books                 | Id
 DepreciationRuns             | CompanyId                 | Companies             | Id
 DepreciationRuns             | FiscalPeriodId            | FiscalPeriods         | Id
 FailureCodes                 | ParentId                  | FailureCodes          | Id
 FiscalPeriods                | CompanyId                 | Companies             | Id
 FiscalPeriods                | FiscalYearId              | FiscalYears           | Id
 FiscalYears                  | CompanyId                 | Companies             | Id
 GlAccounts                   | CompanyId                 | Companies             | Id
 GlAccounts                   | ParentAccountId           | GlAccounts            | Id
 GoodsReceiptLines            | GoodsReceiptId            | GoodsReceipts         | Id
 GoodsReceiptLines            | PurchaseOrderLineId       | PurchaseOrderLines    | Id
 GoodsReceiptLines            | ReceivingLocationId       | Locations             | Id
 GoodsReceipts                | CompanyId                 | Companies             | Id
 GoodsReceipts                | PurchaseOrderId           | PurchaseOrders        | Id
 InboundEvents                | IntegrationEndpointId     | IntegrationEndpoints  | Id
 InboundEvents                | TenantId                  | Companies             | Id
 IntegrationEndpoints         | TenantId                  | Tenants               | Id
 IntegrationMappings          | IntegrationEndpointId     | IntegrationEndpoints  | Id
 InventoryScans               | AssetId                   | Assets                | Id
 InventoryScans               | InventoryListId           | InventoryLists        | Id
 InvoicePayments              | VendorInvoiceId           | VendorInvoices        | Id
 ItemAlternates               | AlternateItemId           | Items                 | Id
 ItemAlternates               | CreatedByUserId           | Users                 | Id
 ItemAlternates               | ItemId                    | Items                 | Id
 ItemAlternates               | TenantId                  | Tenants               | Id
 ItemApprovedVendors          | CompanyId                 | Companies             | Id
 ItemApprovedVendors          | CreatedByUserId           | Users                 | Id
 ItemApprovedVendors          | ItemId                    | Items                 | Id
 ItemApprovedVendors          | SiteId                    | Sites                 | Id
 ItemApprovedVendors          | TenantId                  | Tenants               | Id
 ItemApprovedVendors          | VendorId                  | Vendors               | Id
 ItemCategories               | DefaultGlAccountId        | GlAccounts            | Id
 ItemCategories               | ExpenseGlAccountId        | GlAccounts            | Id
 ItemCategories               | ParentCategoryId          | ItemCategories        | Id
 ItemCompanyStockings         | CompanyId                 | Companies             | Id
 ItemCompanyStockings         | ItemId                    | Items                 | Id
 ItemCompanyStockings         | PreferredVendorId         | Vendors               | Id
 ItemImages                   | ItemId                    | Items                 | Id
 ItemInventories2             | CompanyId                 | Companies             | Id
 ItemInventories2             | ItemId                    | Items                 | Id
 ItemInventories2             | LocationId                | Locations             | Id
 ItemManufacturerParts        | ItemId                    | Items                 | Id
 ItemManufacturerParts        | ManufacturerId            | Manufacturers         | Id
 ItemRevisions                | ItemId                    | Items                 | Id
 ItemRevisions                | SupersedesItemRevisionId  | ItemRevisions         | Id
 ItemSupersessions            | CreatedByUserId           | Users                 | Id
 ItemSupersessions            | NewItemId                 | Items                 | Id
 ItemSupersessions            | OldItemId                 | Items                 | Id
 ItemSupersessions            | TenantId                  | Tenants               | Id
 ItemTransactions             | CompanyId                 | Companies             | Id
