 PurchaseOrderReleases        | Status                           | integer                     | NO          | 
 PurchaseOrderReleases        | Notes                            | character varying           | YES         | 
 PurchaseOrderReleases        | CreatedAt                        | timestamp with time zone    | NO          | 
 PurchaseOrders               | Id                               | integer                     | NO          | 
 PurchaseOrders               | PONumber                         | character varying           | NO          | 
 PurchaseOrders               | POType                           | integer                     | NO          | 
 PurchaseOrders               | Status                           | integer                     | NO          | 
 PurchaseOrders               | VendorId                         | integer                     | NO          | 
 PurchaseOrders               | OrderDate                        | timestamp with time zone    | NO          | 
 PurchaseOrders               | RequiredDate                     | timestamp with time zone    | YES         | 
 PurchaseOrders               | PromiseDate                      | timestamp with time zone    | YES         | 
 PurchaseOrders               | Currency                         | character varying           | NO          | 
 PurchaseOrders               | Subtotal                         | numeric                     | NO          | 
 PurchaseOrders               | TaxAmount                        | numeric                     | NO          | 
 PurchaseOrders               | ShippingAmount                   | numeric                     | NO          | 
 PurchaseOrders               | Total                            | numeric                     | NO          | 
 PurchaseOrders               | Notes                            | character varying           | YES         | 
 PurchaseOrders               | InternalNotes                    | character varying           | YES         | 
 PurchaseOrders               | WorkOrderId                      | integer                     | YES         | 
 PurchaseOrders               | CipProjectId                     | integer                     | YES         | 
 PurchaseOrders               | RequestedById                    | integer                     | YES         | 
 PurchaseOrders               | ApprovedById                     | integer                     | YES         | 
 PurchaseOrders               | ApprovedAt                       | timestamp with time zone    | YES         | 
 PurchaseOrders               | CompanyId                        | integer                     | YES         | 
 PurchaseOrders               | CreatedAt                        | timestamp with time zone    | NO          | 
 PurchaseOrders               | UpdatedAt                        | timestamp with time zone    | YES         | 
 PurchaseOrders               | BillToAddress                    | character varying           | YES         | 
 PurchaseOrders               | BillToSiteId                     | integer                     | YES         | 
 PurchaseOrders               | DefaultShipToLocationId          | integer                     | YES         | 
 PurchaseOrders               | ShipToAddress                    | character varying           | YES         | 
 PurchaseOrders               | ShipToSiteId                     | integer                     | YES         | 
 PurchaseRequisitionLines     | Id                               | integer                     | NO          | 
 PurchaseRequisitionLines     | RequisitionId                    | integer                     | NO          | 
 PurchaseRequisitionLines     | LineNumber                       | integer                     | NO          | 
 PurchaseRequisitionLines     | IsNonItemMaster                  | boolean                     | NO          | 
 PurchaseRequisitionLines     | ItemId                           | integer                     | YES         | 
 PurchaseRequisitionLines     | PartNumber                       | character varying           | YES         | 
 PurchaseRequisitionLines     | Description                      | character varying           | YES         | 
 PurchaseRequisitionLines     | ManufacturerPartNumber           | character varying           | YES         | 
 PurchaseRequisitionLines     | VendorPartNumber                 | character varying           | YES         | 
