          table_name          | column_count 
------------------------------+--------------
 ActionCodes                  |            8
 ApiKeys                      |           10
 ApprovalWorkflows            |           13
 AssetBookSettings            |           19
 AssetCategories              |           16
 AssetInventories             |           13
 AssetTaxSettings             |           11
 AssetTransfers               |           13
 Assets                       |          158
 Attachments                  |           16
 AuditLogs                    |           10
 BonusDepreciationRates       |            4
 BookGlAccounts               |            9
 Books                        |           28
 BulkOperations               |           11
 CapitalImprovements          |           12
 CauseCodes                   |            8
 CcaClassBalances             |           17
 CcaClasses                   |            9
 CcaTransactions              |           17
 CipCosts                     |           14
 CipProjects                  |           24
 Companies                    |           47
 CostCenters                  |           15
 Crafts                       |           10
 Currencies                   |            8
 Departments                  |           11
 DepreciationPolicies         |           43
 DepreciationRunDetails       |           11
 DepreciationRuns             |           15
 ExchangeRates                |            9
 FailureCodes                 |            8
 FiscalPeriods                |           15
 FiscalYears                  |           14
 GlAccounts                   |           19
 GoodsReceiptLines            |           14
 GoodsReceipts                |           14
 InboundEvents                |           15
 IntegrationEndpoints         |           14
 IntegrationMappings          |            9
 InventoryLists               |           13
 InventoryScans               |           11
 InvoicePayments              |            8
 ItemAlternates               |           10
 ItemApprovedVendors          |           11
 ItemCategories               |            9
 ItemCompanyStockings         |           25
 ItemImages                   |           14
 ItemInventories2             |           17
 ItemManufacturerParts        |           11
 ItemRevisions                |           16
 ItemSupersessions            |            8
 ItemTransactions             |           21
 ItemVendors                  |           28
 Items                        |           99
 JournalEntries               |            9
 JournalLines                 |            7
 KitItems                     |            7
 Kits                         |           10
 LaborRates                   |           13
 LaborTypes                   |            9
 LessonsLearned               |           11
 Locations                    |           36
 MaintenanceEvents            |           54
 MaintenanceSchedules         |           15
 MaintenanceTypeCodes         |            8
 Manufacturers                |           13
 MeterReadings                |           14
 NumberingSequences           |           17
 OutboxEvents                 |           15
 PMOccurrences                |           12
 PMSchedules                  |           21
 PMTemplateAssets             |           13
 PMTemplateItems              |            8
 PMTemplateRevisionOperations |            9
 PMTemplateRevisions          |           42
 PMTemplates                  |           38
 PartialDisposals             |           16
 PaymentTerms                 |           10
 PeriodLocks                  |            6
 PolicyCategoryDefaults       |            7
 PriorityLevels               |           11
 ProblemCodes                 |            8
 ProjectManagers              |           11
 PurchaseOrderLines           |           24
 PurchaseOrderReleases        |           10
 PurchaseOrders               |           28
 PurchaseRequisitionLines     |           23
 PurchaseRequisitions         |           37
 ReorderAlerts                |           13
 Section179Limits             |            7
 ShippingMethods              |           10
 Sites                        |           43
 Skills                       |           13
 TaxCodes                     |           11
 Technicians                  |           12
 Tenants                      |            9
 UOMDefinitions               |           10
 UsTaxSettings                |           17
 UsefulLifeEntries            |           16
 UsefulLifeTables             |            7
 Users                        |           14
 VendorInvoiceLines           |           12
 VendorInvoices               |           23
 VendorItemParts              |           26
 Vendors                      |           30
 WebhookDeliveryLogs          |            9
 WebhookSubscriptions         |           16
 WorkOrderOperationLabors     |           13
 WorkOrderOperationParts      |           15
 WorkOrderOperationTools      |           13
 WorkOrderOperations          |           29
 WorkOrderParts               |           16
 WorkOrderTypes               |           10
 WorkRequests                 |           22
 __EFMigrationsHistory        |            2
(116 rows)

