          table_name          | row_count 
------------------------------+-----------
 ActionCodes                  |         0
 ApiKeys                      |         0
 ApprovalWorkflows            |         0
 AssetBookSettings            |         0
 AssetCategories              |         0
 AssetInventories             |         0
 AssetTaxSettings             |         0
 AssetTransfers               |         0
 Assets                       |         0
 Attachments                  |         0
 AuditLogs                    |         0
 BonusDepreciationRates       |         0
 BookGlAccounts               |         0
 Books                        |         0
 BulkOperations               |         0
 CapitalImprovements          |         0
 CauseCodes                   |         0
 CcaClassBalances             |         0
 CcaClasses                   |         0
 CcaTransactions              |         0
 CipCosts                     |         0
 CipProjects                  |         0
 Companies                    |         0
 CostCenters                  |         0
 Crafts                       |         0
 Currencies                   |         0
 Departments                  |         0
 DepreciationPolicies         |         0
 DepreciationRunDetails       |         0
 DepreciationRuns             |         0
 ExchangeRates                |         0
 FailureCodes                 |         0
 FiscalPeriods                |         0
 FiscalYears                  |         0
 GlAccounts                   |         0
 GoodsReceiptLines            |         0
 GoodsReceipts                |         0
 InboundEvents                |         0
 IntegrationEndpoints         |         0
 IntegrationMappings          |         0
 InventoryLists               |         0
 InventoryScans               |         0
 InvoicePayments              |         0
 ItemAlternates               |         0
 ItemApprovedVendors          |         0
 ItemCategories               |         0
 ItemCompanyStockings         |         0
 ItemImages                   |         0
 ItemInventories2             |         0
 ItemManufacturerParts        |         0
 ItemRevisions                |         0
 ItemSupersessions            |         0
 ItemTransactions             |         0
 ItemVendors                  |         0
 Items                        |         0
 JournalEntries               |         0
 JournalLines                 |         0
 KitItems                     |         0
 Kits                         |         0
 LaborRates                   |         0
 LaborTypes                   |         0
 LessonsLearned               |         0
 Locations                    |         0
 MaintenanceEvents            |         0
 MaintenanceSchedules         |         0
 MaintenanceTypeCodes         |         0
 Manufacturers                |         0
 MeterReadings                |         0
 NumberingSequences           |         0
 OutboxEvents                 |         0
 PMOccurrences                |         0
 PMSchedules                  |         0
 PMTemplateAssets             |         0
 PMTemplateItems              |         0
 PMTemplateRevisionOperations |         0
 PMTemplateRevisions          |         0
 PMTemplates                  |         0
 PartialDisposals             |         0
 PaymentTerms                 |         0
 PeriodLocks                  |         0
 PolicyCategoryDefaults       |         0
 PriorityLevels               |         0
 ProblemCodes                 |         0
 ProjectManagers              |         0
 PurchaseOrderLines           |         0
 PurchaseOrderReleases        |         0
 PurchaseOrders               |         0
 PurchaseRequisitionLines     |         0
 PurchaseRequisitions         |         0
 ReorderAlerts                |         0
 Section179Limits             |         0
 ShippingMethods              |         0
 Sites                        |         0
 Skills                       |         0
 TaxCodes                     |         0
 Technicians                  |         0
 Tenants                      |         0
 UOMDefinitions               |         0
 UsTaxSettings                |         0
 UsefulLifeEntries            |         0
 UsefulLifeTables             |         0
 Users                        |         0
 VendorInvoiceLines           |         0
 VendorInvoices               |         0
 VendorItemParts              |         0
 Vendors                      |         0
 WebhookDeliveryLogs          |         0
 WebhookSubscriptions         |         0
 WorkOrderOperationLabors     |         0
 WorkOrderOperationParts      |         0
 WorkOrderOperationTools      |         0
 WorkOrderOperations          |         0
 WorkOrderParts               |         0
 WorkOrderTypes               |         0
 WorkRequests                 |         0
 __EFMigrationsHistory        |         0
(116 rows)

